0. Точка отсчёта ,,,,,,,,,,
Паспорт проекта,,,,,,,,,,
,"Отвечает за:
понимание того, с каким предложением и призывом проект сейчас выходит к аудитории",,,,,,,,,
,"Инструкция:
зафиксировать текущие офферы, бонусы, акции, призывы к действию, основное целевое действие",,,,,,,,,
,"Что должно быть на выходе:
список текущих офферов и CTA на момент старта",,,,,,,,,
,,,,,,,,,,
Текущая семантика и поисковый фокус,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущая семантика и поисковый фокус,"Инструменты:
Wordstat, Яндекс Директ, SEO-таблицы, поисковые отчёты",,исходная семантическая база:,,,,,,,
,"Отвечает за:
фиксацию исходного набора ключевых слов и поискового направления проекта",,,,,,,,,
,"Инструкция:
зафиксировать основные ключевые слова, приоритетные кластеры, брендовые и небрендовые запросы",,,,,,,,,
,"Что должно быть на выходе:
исходная семантическая база для будущего сравнения",,,,,,,,,
,,,,,,,,,,
Текущее состояние сайта,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущее состояние сайта,"Инструменты:
сайт, Tilda, карта страниц, ручная проверка, мобильная проверка",,"какой сайт на старте: 

что в нём уже работает: 

что в нём не работает",,,,,,,
,"Отвечает за:
фиксацию реального состояния сайта до изменений",,,,,,,,,
,"Инструкция:
зафиксировать основные страницы, главные посадочные, формы, CTA, контакты, блоки доверия, слабые места сайта",,,,,,,,,
,"Что должно быть на выходе:
понятно, какой сайт есть на старте и что в нём уже работает или не работает",,,,,,,,,
,,,,,,,,,,
Текущая инфраструктура маркетинга,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущая инфраструктура маркетинга,"Инструменты:
Яндекс Метрика, CRM, формы, UTM, рекламные кабинеты, таблицы",,"какая инфраструктура уже есть: 

чего не хватает:",,,,,,,
,"Отвечает за:
понимание, что уже подключено для измерения и обработки лидов",,,,,,,,,
,"Инструкция:
зафиксировать наличие аналитики, целей, CRM, передачи лидов, UTM-разметки, уведомлений, рекламных кабинетов",,,,,,,,,
,"Что должно быть на выходе:
понятно, какая инфраструктура уже есть, а чего не хватает",,,,,,,,,
,,,,,,,,,,
Текущие каналы и рекламные материалы,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущие каналы и рекламные материалы,"Инструменты:
Яндекс Директ, РСЯ, медийка, SEO, карты, баннеры, объявления, видео, тексты",,"список текущих каналов:

список текущих кампаний: 

список текущих стартовых креативов:",,,,,,,
,"Отвечает за:
фиксацию того, через какие каналы проект уже продвигается и с какими сообщениями",,,,,,,,,
,"Инструкция:
зафиксировать активные каналы, кампании, основные креативы, рекламные сообщения и офферы в рекламе",,,,,,,,,
,"Что должно быть на выходе:
список текущих каналов, кампаний и стартовых креативов",,,,,,,,,
,,,,,,,,,,
Текущие результаты,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Текущие результаты,"Инструменты:
Яндекс Метрика, Яндекс Директ, CRM, коллтрекинг, отчёты продаж, таблицы",,таблица ключевых метрик проекта:,,,,,,,
,"Отвечает за:
создание стартовой базы метрик, с которой дальше сравниваются все изменения",,,,,,,,,
,"Инструкция:
зафиксировать трафик, показы, клики, CTR, заявки, звонки, CPL или CPA, конверсию, расход, качество лидов, продажи, если доступны",,,,,,,,,
,"Что должно быть на выходе:
единая стартовая таблица ключевых метрик проекта",,,,,,,,,
,,,,,,,,,,
Проблемы и ограничения на старте,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Проблемы и ограничения на старте,"Инструменты:
аудит, интервью, сайт, аналитика, CRM, реклама, команда",,список основных блокеров и слабых мест проекта:,,,,,,,
,"Отвечает за:
фиксацию того, что уже мешает результату до начала изменений",,,,,,,,,
,"Инструкция:
зафиксировать главные проблемы сайта, рекламы, аналитики, обработки лидов, позиционирования и оффера",,,,,,,,,
,"Что должно быть на выходе:
список основных блокеров и слабых мест проекта",,,,,,,,,
,,,,,,,,,,
Контрольная дата фиксации,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице
Контрольная дата фиксации,"Инструменты:
Google Sheets / Excel / отчёты / документы проекта",,на какую дату зафиксировано стартовое состояние проекта:,,,,,,,
,"Отвечает за:
чистоту будущего сравнения",,,,,,,,,
,"Инструкция:
зафиксировать дату заполнения, период данных, источники данных и кто внёс информацию",,,,,,,,,
,"Что должно быть на выходе:
понятно, на какую дату зафиксировано стартовое состояние проекта",,,,,,,,,
,,,,,,,,,,
1. Аналитика ,,,,,,,,,,
Аудит сайта,,,,,,,,,,
Технический блок,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,
Robots.txt Яндекс,"Суть: 
Нужные страницы открыты, служебные закрыты, файл валиден. 
Идеал: 0 ошибок / ключевые URL - «Разрешено» / технические - «Запрещено». 

Инструкция: 
1. Вебмастер → Инструменты → Анализ robots.txt → «Проверить» → смотреть «0 ошибок» 
2. Инструменты → Анализ индексации → вводить поочерёдно /, /services, /contacts → «Разрешено» 
3. Там же → вводить /admin, /?filter=, /cart → «Запрещено»

+ Ресурсы Google Search Console
Суть: Робот видит страницу так же, как пользователь. 
Идеал: Страница рендерится полностью, без белых блоков. 

Инструкция: 
1. Search Console → Проверка URL → ввести главную 
2. «Просмотреть как Google» → вкладка «Снимок экрана» 
3. Страница отрисована полностью - ок",,,,,,,,,
Sitemap.xml Яндекс Вебмастер,"Суть: 
Карта существует, актуальна, содержит правильное количество страниц. 

Идеал: 
Статус «Успешно», <lastmod> свежий, кол-во в Sitemap ≈ кол-ву в индексе. 

Инструкция: 
1. Вебмастер → Индексирование → Файлы Sitemap → смотреть статус и «Страниц в файле» 
2. Открыть сайт.ru/sitemap.xml → проверить <lastmod> и отсутствие технических URL 
3. Вебмастер → Страницы в поиске → сравнить цифру: 
расхождение >20% - проблема",,,,,,,,,
Редиректы Проверка ответа сервера,"Суть: 
Один канонический адрес, все остальные варианты ведут на него. 

Идеал: 
https://www. → 200 / http:// → 301 / без www → 301 / без слэша и со слэшем - только один даёт 200. 

Инструкция: 
1. Вставлять по очереди: https://www.сайт.ru → ожидать 200 
2. http://сайт.ru → ожидать 301 на https:// 
3. https://сайт.ru → ожидать 301 на www. 
4. сайт.ru/page и сайт.ru/page/ → один 200, другой 301",,,,,,,,,
Meta Robots SEO META in 1 CLICK,"Суть: 
Ключевые страницы открыты для индексации, мета-теги и заголовки заполнены корректно. 

Идеал: 
На каждой из 4 страниц - все 6 параметров в норме. 

Инструкция: 
1. Открыть страницу → кликнуть расширение → проверить: 
SUMMARY: Robots = index, follow / Canonical = сам на себя / Title 50–60 симв. / Description 140–160 симв., не дублирует Title 
HEADERS: H1 - ровно один, иерархия H1→H2→H3 
IMAGES: Alt заполнен у всех 
2. Повторить для: Главная / Услуга / Контакты / Политика",,,,,,,,,
CWV PageSpeed Insights,"Суть: 
Страница быстро загружается и не прыгает при отрисовке. 

Идеал: 
LCP < 2.5 сек / CLS < 0.1 / Performance ≥ 70 (мобильные). 

Инструкция: 
1. Вставить URL → «Анализировать» → вкладка «Мобильные» 
2. Блок Core Web Vitals → смотреть LCP, CLS - зелёный = ок 
3. Большой круг вверху → цифра ≥ 70 - ок; 
ниже - список рекомендаций",,,,,,,,,
Изображения SEO META in 1 CLICK,"Суть: 
У всех картинок заполнен Alt - робот понимает что на фото. 

Идеал: 
Колонка Alt без пустых полей, кол-во картинок совпадает с видимым. 

Инструкция: 
1. Открыть страницу → расширение → вкладка IMAGES 
2. Колонка Alt - нет пустых → ок; пустое = записать URL + номер картинки 
3. Общее число в расширении = числу картинок на странице",,,,,,,,,
SSL SSL Shopper,"Суть: 
Сертификат действителен, выписан на правильный домен, не истекает. 

Идеал: 
Все галочки зелёные / срок > 30 дней / Common Name совпадает с доменом. 

Инструкция: 
1. Вставить домен → «Check SSL» 
2. Все галочки зелёные → ок 
3. «Expires in X days» → > 30 - ок; < 30 - срочно обновить 
4. «Common Name» → совпадает с вашим доменом",,,,,,,,,
,,,,,,,,,,
Контент и структура,,,,,,,,,,
Элемент,Суть + Советы - Инструкция,Статус,Доказательство,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,Размещено на странице,
ГЛАВНАЯ,"Обязательная, коммерческая - главная точка входа: объясняет кто вы, для кого и почему вам стоит доверять.",,,,,,,,,
,Раздел 1. Герой-экран - Задача: За 3 сек объяснить кто / что / для кого - и вызвать первое действие.,,,,,,,,,
,• H1: [Деятельность] + [Предмет/Сегмент] + [Гео],,,,,,,,,
,"• УТП: одно обещание результата, без «высококачественного сервиса»",,,,,,,,,
,• Визуал: лучший пример работы - фото до/после или видео,,,,,,,,,
,"• Соцдок: рейтинг ★ + 1–2 статусных факта (бренды, цифра)",,,,,,,,,
,• Мини-блок: доставка / сроки / гарантия / оплата,,,,,,,,,
,• Кнопки: [Основное действие] + [Альтернативное],,,,,,,,,
,Раздел 2. Навигация по сегментам - Задача: Развести трафик - посетитель должен узнать себя. ,,,,,,,,,
,• Заголовок: «Для кого мы работаем» / «Выберите вашу категорию»,,,,,,,,,
,"• Карточки: 3–6 шт., каждая = Фото + Заголовок сегмента + Ссылка [Подробнее]",,,,,,,,,
,"Раздел 3. О компании - Задача: Продать экспертность, а не услугу. ",,,,,,,,,
,• Заголовок: «Почему [Название]» ,,,,,,,,,
,• 3 фактоида: лет на рынке / объём / ключевой дифференциатор,,,,,,,,,
,• Текст: 2–3 предложения о сути подхода ,,,,,,,,,
,• Сертификаты / награды / значки доверия,,,,,,,,,
,Раздел 4. Кейсы - Задача: Вау-эффект - показать товар лицом.,,,,,,,,,
,• 3–4 самых визуально сильных примера из разных категорий,,,,,,,,,
,• Каждый кейс: Название + Категория + Результат,,,,,,,,,
,• Кнопка: [Смотреть всё портфолио],,,,,,,,,
,Раздел 5. Процесс работы - Задача: Снять страх «это долго и сложно». ,,,,,,,,,
,• Заголовок: «Как мы работаем» ,,,,,,,,,
,• 3–5 шагов: название шага + что происходит + срок ,,,,,,,,,
,• Кнопка под схемой,,,,,,,,,
,"Раздел 6. Выгоды - Задача: 
Сформировать потребность у холодного посетителя.",,,,,,,,,
,• Заголовок: зачем это нужно клиенту,,,,,,,,,
,"• 3 иконки + тезисы: конкретная выгода, не «мы лучшие»",,,,,,,,,
,Раздел 7. Отзывы - Задача: Подтвердить репутацию чужими словами. ,,,,,,,,,
,• Виджет Яндекс/Google Reviews или 3 цитаты с фото и именем,,,,,,,,,
,• Кнопка: [Читать все отзывы] ,,,,,,,,,
,• Блок Б → финальный CTA,,,,,,,,,
СПИСОК / КАТЕГОРИЯ,"Обязательная, навигационная - разводит трафик по нужным разделам и удерживает тех, кто ещё выбирает.",,,,,,,,,
,Раздел 1. Герой - Задача: Подтвердить - попал в нужный раздел.,,,,,,,,,
,• H1: [Название категории] + [Гео/уточнение],,,,,,,,,
,• Intro: 2–3 предложения о чём раздел,,,,,,,,,
,"Раздел 2. Фильтры + Сетка - Задача: 
Упростить выбор и дать достаточно инфо для клика. ",,,,,,,,,
,• Фильтры: табы / теги / сортировка (если позиций >10) ,,,,,,,,,
,"• Карточка: фото + категория + H3 + атрибуты 
(локация / срок / результат) + CTA",,,,,,,,,
,"Раздел 3. Лид-магнит врезка - Задача: 
Поймать тех, кто устал листать или не может выбрать.",,,,,,,,,
,• Вставляется после 3–6 карточки,,,,,,,,,
,• Заголовок: «Не знаете что выбрать?» ,,,,,,,,,
, Кнопка: [Получить консультацию],,,,,,,,,
,"Раздел 4. Пагинация + Перелинковка - Задача: 
Техническая навигация + удержание если категория не подошла. ",,,,,,,,,
,• «Показать ещё» (AJAX) для UX + числовая пагинация для роботов,,,,,,,,,
,• Блок «Смотрите также» - 3–4 смежные категории,,,,,,,,,
,• Блок Б → финальный CTA,,,,,,,,,
СТРАНИЦА УСЛУГИ ,"Обязательная, конверсионная - проводит клиента от боли до заявки не покидая страницу.",,,,,,,,,
,"Раздел 1. Герой - Задача: 
С первого экрана - УТП + доверие + первое действие.",,,,,,,,,
,• H1: 1 фраза УТП под конкретную услугу,,,,,,,,,
,• Подзаголовок: 1–2 ключевые выгоды ,,,,,,,,,
,• Соцдок: рейтинг / логотипы клиентов / кейс-тиндер ,,,,,,,,,
,• Мини-блок: доставка / сроки / гарантия / оплата,,,,,,,,,
,• Кнопка: [Основное действие],,,,,,,,,
,"Раздел 2. Боли → Решение - Задача: 
Зацепить болью и сразу показать выход.",,,,,,,,,
,• Заголовок блока,,,,,,,,,
,• 2–3 формулы: Боль (заголовок) → Решение (текст 2–3 предл.) ,,,,,,,,,
,• Мини-доказательства под каждой болью,,,,,,,,,
,• Кнопка,,,,,,,,,
,"Раздел 3. Кейсы - Задача: 
Показать реальный результат - закрыть «а вдруг не получится». ",,,,,,,,,
,• 2–4 кейса формата: До / После / Результат,,,,,,,,,
,• Отзывы с фото клиента ,,,,,,,,,
,• Формат слайдера или сетки,,,,,,,,,
,"Раздел 4. Как работаем - Задача: 
Убрать неопределённость - клиент должен знать что будет дальше. ",,,,,,,,,
,• Заголовок,,,,,,,,,
,• 3–5 шагов: шаг → ожидаемый результат → срок,,,,,,,,,
, • Опционально: короткое видео-демо 15–30 сек ,,,,,,,,,
,• Кнопки: [Основное действие] + [Рассчитать стоимость],,,,,,,,,
,"Раздел 5. Вариации / Пакеты - Задача: 
Дать выбор под разные потребности и бюджеты.",,,,,,,,,
,• Общий заголовок + подзаголовок ,,,,,,,,,
,• 3–7 карточек: Название + Для кого + Что входит ,,,,,,,,,
,• Кнопка у каждой карточки,,,,,,,,,
,"Раздел 6. Цена - Задача: 
Закрыть возражение по деньгам - 
показать ценность, не просто цифру. ",,,,,,,,,
, • Заголовок,,,,,,,,,
,• Цена + что входит ,,,,,,,,,
,• Бонус / спецпредложение,,,,,,,,,
,• Гарантия + условия оплаты,,,,,,,,,
,• Калькулятор стоимости (если применимо) ,,,,,,,,,
,• Кнопки: [Оформить заявку] + [Консультация],,,,,,,,,
,"Раздел 7. FAQ - Задача: 
Снять оставшиеся возражения без участия менеджера.",,,,,,,,,
,• 6–10 вопросов: сроки / гарантия / оплата / возврат / безопасность,,,,,,,,,
,• Аккордеон ,,,,,,,,,
,• Кнопка: [Не нашли ответ? Задать вопрос],,,,,,,,,
,"Раздел 8. Контакты / Связаться - Задача: 
Финальный захват - максимум способов связи.",,,,,,,,,
,• Форма: Имя + Телефон + опционально Сообщение,,,,,,,,,
,• Телефон кликабельный,,,,,,,,,
,• Мессенджеры ,,,,,,,,,
,• Часы работы + обещание времени ответа,,,,,,,,,
,"Раздел 9. Финальный экран + Другие услуги - Задача: 
Повторить УТП для тех кто долистал + удержать перелинковкой. ",,,,,,,,,
,• УТП в 1–2 строки + гарантия + кнопка,,,,,,,,,
,"• Блок «Другие услуги»: 
3–6 карточек с лаконичным УТП",,,,,,,,,
КАРТОЧКА ТОВАРА,"Обязательная для e-commerce, конверсионная - даёт всё необходимое для решения о покупке на одном экране.",,,,,,,,,
,Раздел 1. Первый экран - Задача: Показать товар и дать всё для принятия решения без ухода со страницы.,,,,,,,,,
,"• Левая колонка: 
галерея (главное фото + миниатюры) + лейблы «Хит/Новинка/−20%»",,,,,,,,,
,"• Правая колонка: 
H1 + рейтинг ★ 
+ краткое описание 2–3 буллита + вариации (цвет/размер) 
+ цена (текущая + старая зачёркнутая) 
+ наличие 
+ мини-блок доверия 
+ кнопки [В корзину] + [Купить]",,,,,,,,,
,Раздел 2. Контент товара - Задача: Продать через эмоцию и закрыть рациональные вопросы.,,,,,,,,,
,• Вкладки: Описание / Характеристики / Комплектация / Отзывы ,,,,,,,,,
,• Описание: заголовок-проблема + формулы «было → стало» + lifestyle-фото ,,,,,,,,,
,• Характеристики: таблица параметров + PDF инструкции (если есть),,,,,,,,,
,• Комплектация: список или фото-раскладка,,,,,,,,,
,Раздел 3. Конверсионный хвост - Задача: Увеличить чек + не отпустить если не купил. ,,,,,,,,,
,• Cross-sell: 3–4 карточки аксессуаров + кнопка «+ Добавить»,,,,,,,,,
,• Отзывы / UGC: сводка рейтинга + фото покупателей + список отзывов ,,,,,,,,,
,• Доставка и оплата: способы + сроки + возврат (аккордеон),,,,,,,,,
,• «Вы недавно смотрели»: карусель просмотренных,,,,,,,,,
СТАТЬЯ БЛОГА,"Вторичная, трафиковая - привлекает органический SEO-трафик и конвертирует читателя в лида.",,,,,,,,,
,"Раздел 1. Герой + Введение - Задача: Заголовком продать клик, введением - удержать.",,,,,,,,,
,• H1: главный ключ + интрига/цифра,,,,,,,,,
,• Хлебные крошки + автор + дата + время чтения,,,,,,,,,
,"• Cover-фото: уникальное, не стоковое",,,,,,,,,
,"• Лид-абзац: 3–4 предл., проблема + обещание решения ",,,,,,,,,
,• TOC: якорные ссылки на разделы,,,,,,,,,
,Раздел 2. Тело + Экспертные вставки - Задача: Передать экспертность - читатель должен уйти с конкретной пользой. ,,,,,,,,,
,"• Абзацы ≤ 5 строк, H2/H3 с вторичными ключами",,,,,,,,,
,• Чередование текста и списков ,,,,,,,,,
,• Pro Tips: выделенные блоки с советом эксперта ,,,,,,,,,
,• Визуал: скриншоты / графики / примеры с подписями,,,,,,,,,
,Раздел 3. Конверсия внутри статьи - Задача: Поймать горячих читателей и удержать остальных. ,,,,,,,,,
,• Mid-CTA: баннер с контекстным оффером после 1–2 раздела,,,,,,,,,
,• FAQ (schema): аккордеон 5–7 вопросов → попадание в блок «Вопросы» Google ,,,,,,,,,
,• Заключение: 3–4 вывода списком (для тех кто скроллит в конец),,,,,,,,,
,• Bottom CTA: текст + форма + кнопка,,,,,,,,,
,Раздел 4. E-E-A-T + Удержание - Задача: Доказать что писал человек-эксперт + не отпустить с сайта. ,,,,,,,,,
,• Карточка автора: фото + должность + краткое био + соцсети ,,,,,,,,,
,• «Читать далее»: 3 релевантные статьи по теме,,,,,,,,,
О НАС ,"Вторичная, доверительная - превращает безликое «мы» в живых людей и продаёт экспертность.",,,,,,,,,
,"Раздел 1. Герой + Факты - Задача: 
Не «о нас», а ради чего работаем - и быстро передать масштаб.",,,,,,,,,
,"• H1: формулировка миссии, не название компании ",,,,,,,,,
,• Реальное фото команды или процесса ,,,,,,,,,
,• 3–4 фактоида: год / объём / ключевой дифференциатор / локация,,,,,,,,,
,"Раздел 2. Люди + Процесс - Задача: 
Люди покупают у людей - показать лицо бренда и систему за ним. ",,,,,,,,,
,• Фото основателя + прямая речь 3–5 строк от первого лица ,,,,,,,,,
,• Команда: фото + роли ,,,,,,,,,
,• Backstage: фото/видео процесса + что делает результат системным,,,,,,,,,
,"Раздел 3. Доверие + CTA - Задача: 
Финальное социальное доказательство и захват. ",,,,,,,,,
, • Лого-стена клиентов ,,,,,,,,,
, • Сертификаты / награды / лицензии ,,,,,,,,,
, • Блок Б → финальный CTA,,,,,,,,,
КОНТАКТЫ,"Обязательная, сервисная - обеспечивает максимальную доступность и подтверждает легальность бизнеса.",,,,,,,,,
,Раздел 1. Связь - Задача: Любой способ связи - в одно касание. ,,,,,,,,,
,"• Телефон кликабельный, крупно ",,,,,,,,,
,• Мессенджеры: кнопки WhatsApp + Telegram,,,,,,,,,
,• Email ,,,,,,,,,
,• Часы работы,,,,,,,,,
,Раздел 2. Карта + Реквизиты - Задача: Local SEO + доверие для B2B. ,,,,,,,,,
,"• Интерактивная карта (не скриншот) 
+ полный адрес + схема проезда ",,,,,,,,,
,• Юрлицо + ИНН + ОГРН,,,,,,,,,
,• Форма: Имя + Email + Тема + чекбокс согласия,,,,,,,,,
ДОСТАВКА / ГАРАНТИИ,"Рекомендуемая, сервисная - снимает страхи о том что будет после оплаты.",,,,,,,,,
,Задача: Снять все страхи - что получу / когда / что если что-то пойдёт не так. ,,,,,,,,,
,• Процесс: форматы передачи результата (ссылка / файл / самовывоз),,,,,,,,,
,• Сроки: таблица тип → срок ,,,,,,,,,
,• Гарантии: качество + хранение + конфиденциальность ,,,,,,,,,
,• Оплата: способы + предоплата/постоплата,,,,,,,,,
ПОЛИТИКА,"Обязательная, юридическая - защищает от штрафов по 152-ФЗ и разблокирует рекламные кабинеты.",,,,,,,,,
,Задача: Юридическая защита сбора данных - обязательно для форм и рекламы (152-ФЗ). ,,,,,,,,,
,• Кто мы: название + адрес + ИНН + email ответственного ,,,,,,,,,
,• Какие данные: список + зачем,,,,,,,,,
,• Cookies: перечень сервисов + инструкция по отключению,,,,,,,,,
,• Права пользователя: срок хранения + право на удаление,,,,,,,,,
404,"Техническая, удерживающая - не даёт пользователю уйти когда он попал в тупик.",,,,,,,,,
,Задача: Не дать закрыть вкладку - предложить выход.,,,,,,,,,
,"• H1: «Страница не найдена», нейтральный тон ",,,,,,,,,
,• Строка поиска по сайту ,,,,,,,,,
,• Кнопка «На главную» + ссылки на топ-разделы,,,,,,,,,
THANK YOU PAGE ⚠️,"Обязательная, аналитическая - единственная страница на которой настраивается цель в Метрике для обучения Директа.",,,,,,,,,
,Задача: Подтвердить заявку + прогреть пока клиент горячий. ,,,,,,,,,
,• H1 «Спасибо» + зелёная галочка ,,,,,,,,,
,• Текст: кто / когда / как свяжется ,,,,,,,,,
,• Прогрев: Telegram / портфолио / полезный контент ⚠️ URL /thank-you → цель в Метрике,,,,,,,,,
ЛЕНДИНГ,"Ситуативная, конверсионная - одностраничник под одну задачу без навигации и отвлекающих элементов.",,,,,,,,,
,"Раздел 1. Герой - Задача: За 3 сек передать оффер и вызвать первое действие - без навигации, без отвлечений. ",,,,,,,,,
,• H1: [Результат] + [Для кого] + [За какой срок / на каких условиях] ,,,,,,,,,
,"• Подзаголовок: 1–2 конкретные выгоды, не абстракции ",,,,,,,,,
,• Визуал: фото/видео результата или продукта - лучший пример ,,,,,,,,,
,• Соцдок: рейтинг ★ + 1–2 факта доверия (бренды / цифра / СМИ) ,,,,,,,,,
,• Мини-блок: срок / гарантия / условие (3 иконки) ,,,,,,,,,
,"• Кнопка: одна, яркая, конкретная - [Получить / Записаться / Рассчитать]
 ⚠️ Нет глобального меню - только логотип и кнопка связи",,,,,,,,,
,Раздел 2. Быстрый соцдок - Задача: Сразу после героя убрать первое сомнение «а вы вообще кто».,,,,,,,,,
,• Полоса логотипов клиентов / партнёров / СМИ или ,,,,,,,,,
,• 3 цифры: X клиентов / X лет / X% довольных ,,,,,,,,,
,"• Формат: узкий блок, не занимает много места",,,,,,,,,
,Раздел 3. Боли - Задача: Показать - мы понимаем вашу проблему лучше чем вы сами. ,,,,,,,,,
,• Заголовок: формулировка боли или ситуации клиента ,,,,,,,,,
,• 3–5 болей: короткий заголовок + 1–2 предложения контекста ,,,,,,,,,
,• Визуальный разделитель или иконки,,,,,,,,,
,• Переход к решению: короткий мост «именно для этого мы создали...»,,,,,,,,,
,Раздел 4. Оффер / Решение - Задача: Показать продукт как прямой ответ на боль. ,,,,,,,,,
,• Заголовок: «Как это решает [боль]» ,,,,,,,,,
,"• Описание продукта/услуги: что именно, как работает, что получает клиент ",,,,,,,,,
,• Формула результата: было → стало или до → после ,,,,,,,,,
,• CTA повтор: [Получить / Попробовать],,,,,,,,,
,Раздел 5. Как это работает - Задача: Снять страх «это сложно / долго / непонятно». ,,,,,,,,,
,• Заголовок: «3 шага до результата» / «Как мы работаем» ,,,,,,,,,
,• 3–5 шагов: иконка + заголовок + 1 предложение + срок ,,,,,,,,,
,• Акцент на простоте первого шага - это снижает порог входа,,,,,,,,,
